# DocID, SentenceNr, SenTokenPos, DocTokenPos, SenCharOnset(incl), SenCharOffset(excl), DocCharOnset(incl), DocCharOffset(excl), Text
822, 1, 1, 1, 0, 3, 0, 3, "Ann"
822, 1, 2, 2, 4, 10, 4, 10, "Intern"
822, 1, 3, 3, 11, 14, 11, 14, "Med"
822, 1, 4, 4, 15, 16, 15, 16, "."
822, 2, 1, 5, 0, 4, 17, 21, "2008"
822, 2, 2, 6, 5, 8, 22, 25, "Oct"
822, 2, 3, 7, 9, 11, 26, 28, "21"
822, 2, 4, 8, 12, 13, 29, 30, ";"
822, 2, 5, 9, 14, 17, 31, 34, "149"
822, 2, 6, 10, 18, 19, 35, 36, "("
822, 2, 7, 11, 20, 21, 37, 38, "8"
822, 2, 8, 12, 22, 23, 39, 40, ")"
822, 2, 9, 13, 24, 25, 41, 42, ":"
822, 2, 10, 14, 26, 29, 43, 46, "531"
822, 2, 11, 15, 30, 31, 47, 48, "-"
822, 2, 12, 16, 32, 33, 49, 50, "9"
822, 2, 13, 17, 34, 35, 51, 52, "."
822, 3, 1, 18, 0, 8, 53, 61, "Addition"
822, 3, 2, 19, 9, 11, 62, 64, "of"
822, 3, 3, 20, 12, 19, 65, 72, "neutral"
822, 3, 4, 21, 20, 29, 73, 82, "protamine"
822, 3, 5, 22, 30, 36, 83, 89, "lispro"
822, 3, 6, 23, 37, 44, 90, 97, "insulin"
822, 3, 7, 24, 45, 47, 98, 100, "or"
822, 3, 8, 25, 48, 55, 101, 108, "insulin"
822, 3, 9, 26, 56, 64, 109, 117, "glargine"
822, 3, 10, 27, 65, 67, 118, 120, "to"
822, 3, 11, 28, 68, 72, 121, 125, "oral"
822, 3, 12, 29, 73, 77, 126, 130, "type"
822, 3, 13, 30, 78, 79, 131, 132, "2"
822, 3, 14, 31, 80, 88, 133, 141, "diabetes"
822, 3, 15, 32, 89, 97, 142, 150, "regimens"
822, 3, 16, 33, 98, 101, 151, 154, "for"
822, 3, 17, 34, 102, 110, 155, 163, "patients"
822, 3, 18, 35, 111, 115, 164, 168, "with"
822, 3, 19, 36, 116, 126, 169, 179, "suboptimal"
822, 3, 20, 37, 127, 135, 180, 188, "glycemic"
822, 3, 21, 38, 136, 143, 189, 196, "control"
822, 3, 22, 39, 144, 145, 197, 198, ":"
822, 3, 23, 40, 146, 147, 199, 200, "a"
822, 3, 24, 41, 148, 158, 201, 211, "randomized"
822, 3, 25, 42, 159, 164, 212, 217, "trial"
822, 3, 26, 43, 165, 166, 218, 219, "."
822, 4, 1, 44, 0, 8, 220, 228, "Esposito"
822, 4, 2, 45, 9, 10, 229, 230, "K"
822, 4, 3, 46, 11, 12, 231, 232, "("
822, 4, 4, 47, 13, 14, 233, 234, "1"
822, 4, 5, 48, 15, 16, 235, 236, ")"
822, 4, 6, 49, 17, 18, 237, 238, ","
822, 4, 7, 50, 19, 26, 239, 246, "Ciotola"
822, 4, 8, 51, 27, 28, 247, 248, "M"
822, 4, 9, 52, 29, 30, 249, 250, ","
822, 4, 10, 53, 31, 39, 251, 259, "Maiorino"
822, 4, 11, 54, 40, 42, 260, 262, "MI"
822, 4, 12, 55, 43, 44, 263, 264, ","
822, 4, 13, 56, 45, 54, 265, 274, "Gualdiero"
822, 4, 14, 57, 55, 56, 275, 276, "R"
822, 4, 15, 58, 57, 58, 277, 278, ","
822, 4, 16, 59, 59, 67, 279, 287, "Schisano"
822, 4, 17, 60, 68, 69, 288, 289, "B"
822, 4, 18, 61, 70, 71, 290, 291, ","
822, 4, 19, 62, 72, 80, 292, 300, "Ceriello"
822, 4, 20, 63, 81, 82, 301, 302, "A"
822, 4, 21, 64, 83, 84, 303, 304, ","
822, 4, 22, 65, 85, 93, 305, 313, "Beneduce"
822, 4, 23, 66, 94, 95, 314, 315, "F"
822, 4, 24, 67, 96, 97, 316, 317, ","
822, 4, 25, 68, 98, 103, 318, 323, "Feola"
822, 4, 26, 69, 104, 105, 324, 325, "G"
822, 4, 27, 70, 106, 107, 326, 327, ","
822, 4, 28, 71, 108, 117, 328, 337, "Giugliano"
822, 4, 29, 72, 118, 119, 338, 339, "D"
822, 4, 30, 73, 120, 121, 340, 341, "."
822, 4, 31, 74, 122, 128, 342, 348, "Author"
822, 4, 32, 75, 129, 140, 349, 360, "information"
822, 4, 33, 76, 141, 142, 361, 362, ":"
822, 4, 34, 77, 143, 144, 363, 364, "("
822, 4, 35, 78, 145, 146, 365, 366, "1"
822, 4, 36, 79, 147, 148, 367, 368, ")"
822, 4, 37, 80, 149, 155, 369, 375, "Second"
822, 4, 38, 81, 156, 166, 376, 386, "University"
822, 4, 39, 82, 167, 169, 387, 389, "of"
822, 4, 40, 83, 170, 176, 390, 396, "Naples"
822, 4, 41, 84, 177, 180, 397, 400, "and"
822, 4, 42, 85, 181, 188, 401, 408, "Azienda"
822, 4, 43, 86, 189, 198, 409, 418, "Sanitaria"
822, 4, 44, 87, 199, 205, 419, 425, "Locale"
822, 4, 45, 88, 206, 212, 426, 432, "Napoli"
822, 4, 46, 89, 213, 214, 433, 434, "5"
822, 4, 47, 90, 215, 216, 435, 436, ","
822, 4, 48, 91, 217, 223, 437, 443, "Naples"
822, 4, 49, 92, 224, 225, 444, 445, ","
822, 4, 50, 93, 226, 231, 446, 451, "Italy"
822, 4, 51, 94, 232, 233, 452, 453, "."
822, 5, 1, 95, 0, 7, 454, 461, "Comment"
822, 5, 2, 96, 8, 10, 462, 464, "in"
822, 5, 3, 97, 11, 14, 465, 468, "Ann"
822, 5, 4, 98, 15, 21, 469, 475, "Intern"
822, 5, 5, 99, 22, 25, 476, 479, "Med"
822, 5, 6, 100, 26, 27, 480, 481, "."
822, 6, 1, 101, 0, 4, 482, 486, "2008"
822, 6, 2, 102, 5, 8, 487, 490, "Oct"
822, 6, 3, 103, 9, 11, 491, 493, "21"
822, 6, 4, 104, 12, 13, 494, 495, ";"
822, 6, 5, 105, 14, 17, 496, 499, "149"
822, 6, 6, 106, 18, 19, 500, 501, "("
822, 6, 7, 107, 20, 21, 502, 503, "8"
822, 6, 8, 108, 22, 23, 504, 505, ")"
822, 6, 9, 109, 24, 25, 506, 507, ":"
822, 6, 10, 110, 26, 29, 508, 511, "586"
822, 6, 11, 111, 30, 31, 512, 513, "-"
822, 6, 12, 112, 32, 33, 514, 515, "8"
822, 6, 13, 113, 34, 35, 516, 517, "."
822, 7, 1, 114, 0, 7, 518, 525, "Summary"
822, 7, 2, 115, 8, 11, 526, 529, "for"
822, 7, 3, 116, 12, 20, 530, 538, "patients"
822, 7, 4, 117, 21, 23, 539, 541, "in"
822, 7, 5, 118, 24, 27, 542, 545, "Ann"
822, 7, 6, 119, 28, 34, 546, 552, "Intern"
822, 7, 7, 120, 35, 38, 553, 556, "Med"
822, 7, 8, 121, 39, 40, 557, 558, "."
822, 8, 1, 122, 0, 4, 559, 563, "2008"
822, 8, 2, 123, 5, 8, 564, 567, "Oct"
822, 8, 3, 124, 9, 11, 568, 570, "21"
822, 8, 4, 125, 12, 13, 571, 572, ";"
822, 8, 5, 126, 14, 17, 573, 576, "149"
822, 8, 6, 127, 18, 19, 577, 578, "("
822, 8, 7, 128, 20, 21, 579, 580, "8"
822, 8, 8, 129, 22, 23, 581, 582, ")"
822, 8, 9, 130, 24, 25, 583, 584, ":"
822, 8, 10, 131, 26, 27, 585, 586, "I"
822, 8, 11, 132, 28, 29, 587, 588, "-"
822, 8, 12, 133, 30, 32, 589, 591, "46"
822, 8, 13, 134, 33, 34, 592, 593, "."
822, 9, 1, 135, 0, 3, 594, 597, "Ann"
822, 9, 2, 136, 4, 10, 598, 604, "Intern"
822, 9, 3, 137, 11, 14, 605, 608, "Med"
822, 9, 4, 138, 15, 16, 609, 610, "."
822, 10, 1, 139, 0, 4, 611, 615, "2008"
822, 10, 2, 140, 5, 8, 616, 619, "Oct"
822, 10, 3, 141, 9, 11, 620, 622, "21"
822, 10, 4, 142, 12, 13, 623, 624, ";"
822, 10, 5, 143, 14, 17, 625, 628, "149"
822, 10, 6, 144, 18, 19, 629, 630, "("
822, 10, 7, 145, 20, 21, 631, 632, "8"
822, 10, 8, 146, 22, 23, 633, 634, ")"
822, 10, 9, 147, 24, 25, 635, 636, ":"
822, 10, 10, 148, 26, 27, 637, 638, "I"
822, 10, 11, 149, 28, 29, 639, 640, "-"
822, 10, 12, 150, 30, 32, 641, 643, "52"
822, 10, 13, 151, 33, 34, 644, 645, "."
822, 11, 1, 152, 0, 10, 646, 656, "BACKGROUND"
822, 11, 2, 153, 11, 12, 657, 658, ":"
822, 11, 3, 154, 13, 22, 659, 668, "Injection"
822, 11, 4, 155, 23, 25, 669, 671, "of"
822, 11, 5, 156, 26, 30, 672, 676, "long"
822, 11, 6, 157, 31, 32, 677, 678, "-"
822, 11, 7, 158, 33, 39, 679, 685, "acting"
822, 11, 8, 159, 40, 47, 686, 693, "insulin"
822, 11, 9, 160, 48, 50, 694, 696, "at"
822, 11, 10, 161, 51, 58, 697, 704, "bedtime"
822, 11, 11, 162, 59, 61, 705, 707, "is"
822, 11, 12, 163, 62, 63, 708, 709, "a"
822, 11, 13, 164, 64, 70, 710, 716, "common"
822, 11, 14, 165, 71, 82, 717, 728, "therapeutic"
822, 11, 15, 166, 83, 91, 729, 737, "approach"
822, 11, 16, 167, 92, 95, 738, 741, "for"
822, 11, 17, 168, 96, 104, 742, 750, "patients"
822, 11, 18, 169, 105, 109, 751, 755, "with"
822, 11, 19, 170, 110, 114, 756, 760, "type"
822, 11, 20, 171, 115, 116, 761, 762, "2"
822, 11, 21, 172, 117, 125, 763, 771, "diabetes"
822, 11, 22, 173, 126, 130, 772, 776, "that"
822, 11, 23, 174, 131, 133, 777, 779, "is"
822, 11, 24, 175, 134, 140, 780, 786, "poorly"
822, 11, 25, 176, 141, 151, 787, 797, "controlled"
822, 11, 26, 177, 152, 156, 798, 802, "with"
822, 11, 27, 178, 157, 161, 803, 807, "oral"
822, 11, 28, 179, 162, 170, 808, 816, "regimens"
822, 11, 29, 180, 171, 172, 817, 818, "."
822, 12, 1, 181, 0, 7, 819, 826, "Neutral"
822, 12, 2, 182, 8, 17, 827, 836, "protamine"
822, 12, 3, 183, 18, 24, 837, 843, "lispro"
822, 12, 4, 184, 25, 26, 844, 845, "("
822, 12, 5, 185, 27, 30, 846, 849, "NPL"
822, 12, 6, 186, 31, 32, 850, 851, ")"
822, 12, 7, 187, 33, 40, 852, 859, "insulin"
822, 12, 8, 188, 41, 44, 860, 863, "has"
822, 12, 9, 189, 45, 57, 864, 876, "demonstrated"
822, 12, 10, 190, 58, 64, 877, 883, "better"
822, 12, 11, 191, 65, 73, 884, 892, "glycemic"
822, 12, 12, 192, 74, 81, 893, 900, "control"
822, 12, 13, 193, 82, 85, 901, 904, "and"
822, 12, 14, 194, 86, 93, 905, 912, "similar"
822, 12, 15, 195, 94, 103, 913, 922, "incidence"
822, 12, 16, 196, 104, 106, 923, 925, "of"
822, 12, 17, 197, 107, 119, 926, 938, "hypoglycemic"
822, 12, 18, 198, 120, 126, 939, 945, "events"
822, 12, 19, 199, 127, 131, 946, 950, "than"
822, 12, 20, 200, 132, 136, 951, 955, "that"
822, 12, 21, 201, 137, 139, 956, 958, "of"
822, 12, 22, 202, 140, 147, 959, 966, "neutral"
822, 12, 23, 203, 148, 157, 967, 976, "protamine"
822, 12, 24, 204, 158, 166, 977, 985, "Hagedorn"
822, 12, 25, 205, 167, 174, 986, 993, "insulin"
822, 12, 26, 206, 175, 176, 994, 995, "."
822, 13, 1, 207, 0, 9, 996, 1005, "OBJECTIVE"
822, 13, 2, 208, 10, 11, 1006, 1007, ":"
822, 13, 3, 209, 12, 14, 1008, 1010, "To"
822, 13, 4, 210, 15, 22, 1011, 1018, "compare"
822, 13, 5, 211, 23, 26, 1019, 1022, "the"
822, 13, 6, 212, 27, 35, 1023, 1031, "clinical"
822, 13, 7, 213, 36, 44, 1032, 1040, "efficacy"
822, 13, 8, 214, 45, 48, 1041, 1044, "and"
