# DocID, SentenceNr, SenTokenPos, DocTokenPos, SenCharOnset(incl), SenCharOffset(excl), DocCharOnset(incl), DocCharOffset(excl), Text
328, 1, 1, 1, 0, 8, 0, 8, "Diabetes"
328, 1, 2, 2, 9, 13, 9, 13, "Obes"
328, 1, 3, 3, 14, 19, 14, 19, "Metab"
328, 1, 4, 4, 20, 21, 20, 21, "."
328, 2, 1, 5, 0, 4, 22, 26, "2010"
328, 2, 2, 6, 5, 8, 27, 30, "Oct"
328, 2, 3, 7, 9, 10, 31, 32, ";"
328, 2, 4, 8, 11, 13, 33, 35, "12"
328, 2, 5, 9, 14, 15, 36, 37, "("
328, 2, 6, 10, 16, 18, 38, 40, "10"
328, 2, 7, 11, 19, 20, 41, 42, ")"
328, 2, 8, 12, 21, 22, 43, 44, ":"
328, 2, 9, 13, 23, 26, 45, 48, "916"
328, 2, 10, 14, 27, 28, 49, 50, "-"
328, 2, 11, 15, 29, 31, 51, 53, "22"
328, 2, 12, 16, 32, 33, 54, 55, "."
328, 2, 13, 17, 34, 37, 56, 59, "doi"
328, 2, 14, 18, 38, 39, 60, 61, ":"
328, 2, 15, 19, 40, 42, 62, 64, "10"
328, 2, 16, 20, 43, 44, 65, 66, "."
328, 2, 17, 21, 45, 49, 67, 71, "1111"
328, 2, 18, 22, 50, 51, 72, 73, "/"
328, 2, 19, 23, 52, 53, 74, 75, "j"
328, 2, 20, 24, 54, 55, 76, 77, "."
328, 2, 21, 25, 56, 60, 78, 82, "1463"
328, 2, 22, 26, 61, 62, 83, 84, "-"
328, 2, 23, 27, 63, 67, 85, 89, "1326"
328, 2, 24, 28, 68, 69, 90, 91, "."
328, 2, 25, 29, 70, 74, 92, 96, "2010"
328, 2, 26, 30, 75, 76, 97, 98, "."
328, 2, 27, 31, 77, 82, 99, 104, "01257"
328, 2, 28, 32, 83, 84, 105, 106, "."
328, 2, 29, 33, 85, 86, 107, 108, "x"
328, 2, 30, 34, 87, 88, 109, 110, "."
328, 3, 1, 35, 0, 8, 111, 119, "Addition"
328, 3, 2, 36, 9, 11, 120, 122, "of"
328, 3, 3, 37, 12, 19, 123, 130, "insulin"
328, 3, 4, 38, 20, 26, 131, 137, "lispro"
328, 3, 5, 39, 27, 36, 138, 147, "protamine"
328, 3, 6, 40, 37, 47, 148, 158, "suspension"
328, 3, 7, 41, 48, 50, 159, 161, "or"
328, 3, 8, 42, 51, 58, 162, 169, "insulin"
328, 3, 9, 43, 59, 67, 170, 178, "glargine"
328, 3, 10, 44, 68, 70, 179, 181, "to"
328, 3, 11, 45, 71, 75, 182, 186, "oral"
328, 3, 12, 46, 76, 80, 187, 191, "type"
328, 3, 13, 47, 81, 82, 192, 193, "2"
328, 3, 14, 48, 83, 91, 194, 202, "diabetes"
328, 3, 15, 49, 92, 100, 203, 211, "regimens"
328, 3, 16, 50, 101, 102, 212, 213, ":"
328, 3, 17, 51, 103, 104, 214, 215, "a"
328, 3, 18, 52, 105, 115, 216, 226, "randomized"
328, 3, 19, 53, 116, 121, 227, 232, "trial"
328, 3, 20, 54, 122, 123, 233, 234, "."
328, 4, 1, 55, 0, 7, 235, 242, "Strojek"
328, 4, 2, 56, 8, 9, 243, 244, "K"
328, 4, 3, 57, 10, 11, 245, 246, "("
328, 4, 4, 58, 12, 13, 247, 248, "1"
328, 4, 5, 59, 14, 15, 249, 250, ")"
328, 4, 6, 60, 16, 17, 251, 252, ","
328, 4, 7, 61, 18, 21, 253, 256, "Shi"
328, 4, 8, 62, 22, 23, 257, 258, "C"
328, 4, 9, 63, 24, 25, 259, 260, ","
328, 4, 10, 64, 26, 31, 261, 266, "Carey"
328, 4, 11, 65, 32, 34, 267, 269, "MA"
328, 4, 12, 66, 35, 36, 270, 271, ","
328, 4, 13, 67, 37, 44, 272, 279, "Jacober"
328, 4, 14, 68, 45, 47, 280, 282, "SJ"
328, 4, 15, 69, 48, 49, 283, 284, "."
328, 5, 1, 70, 0, 6, 285, 291, "Author"
328, 5, 2, 71, 7, 18, 292, 303, "information"
328, 5, 3, 72, 19, 20, 304, 305, ":"
328, 5, 4, 73, 21, 22, 306, 307, "("
328, 5, 5, 74, 23, 24, 308, 309, "1"
328, 5, 6, 75, 25, 26, 310, 311, ")"
328, 5, 7, 76, 27, 37, 312, 322, "Department"
328, 5, 8, 77, 38, 40, 323, 325, "of"
328, 5, 9, 78, 41, 49, 326, 334, "Internal"
328, 5, 10, 79, 50, 58, 335, 343, "Diseases"
328, 5, 11, 80, 59, 60, 344, 345, ","
328, 5, 12, 81, 61, 72, 346, 357, "Diabetology"
328, 5, 13, 82, 73, 76, 358, 361, "and"
328, 5, 14, 83, 77, 87, 362, 372, "Nephrology"
328, 5, 15, 84, 88, 89, 373, 374, ","
328, 5, 16, 85, 90, 98, 375, 383, "Silesian"
328, 5, 17, 86, 99, 106, 384, 391, "Medical"
328, 5, 18, 87, 107, 117, 392, 402, "University"
328, 5, 19, 88, 118, 119, 403, 404, ","
328, 5, 20, 89, 120, 126, 405, 411, "Zabrze"
328, 5, 21, 90, 127, 128, 412, 413, ","
328, 5, 22, 91, 129, 135, 414, 420, "Poland"
328, 5, 23, 92, 136, 137, 421, 422, "."
328, 6, 1, 93, 0, 4, 423, 427, "AIMS"
328, 6, 2, 94, 5, 6, 428, 429, ":"
328, 6, 3, 95, 7, 10, 430, 433, "The"
328, 6, 4, 96, 11, 19, 434, 442, "addition"
328, 6, 5, 97, 20, 22, 443, 445, "of"
328, 6, 6, 98, 23, 28, 446, 451, "basal"
