# DocID, SentenceNr, SenTokenPos, DocTokenPos, SenCharOnset(incl), SenCharOffset(excl), DocCharOnset(incl), DocCharOffset(excl), Text
833, 1, 1, 1, 0, 2, 0, 2, "Am"
833, 1, 2, 2, 3, 4, 3, 4, "J"
833, 1, 3, 3, 5, 15, 5, 15, "Ophthalmol"
833, 1, 4, 4, 16, 17, 16, 17, "."
833, 2, 1, 5, 0, 4, 18, 22, "2002"
833, 2, 2, 6, 5, 8, 23, 26, "Dec"
833, 2, 3, 7, 9, 10, 27, 28, ";"
833, 2, 4, 8, 11, 14, 29, 32, "134"
833, 2, 5, 9, 15, 16, 33, 34, "("
833, 2, 6, 10, 17, 18, 35, 36, "6"
833, 2, 7, 11, 19, 20, 37, 38, ")"
833, 2, 8, 12, 21, 22, 39, 40, ":"
833, 2, 9, 13, 23, 26, 41, 44, "863"
833, 2, 10, 14, 27, 28, 45, 46, "-"
833, 2, 11, 15, 29, 31, 47, 49, "71"
833, 2, 12, 16, 32, 33, 50, 51, "."
833, 3, 1, 17, 0, 10, 52, 62, "Randomized"
833, 3, 2, 18, 11, 19, 63, 71, "clinical"
833, 3, 3, 19, 20, 25, 72, 77, "trial"
833, 3, 4, 20, 26, 28, 78, 80, "of"
833, 3, 5, 21, 29, 40, 81, 92, "latanoprost"
833, 3, 6, 22, 41, 44, 93, 96, "and"
833, 3, 7, 23, 45, 56, 97, 108, "unoprostone"
833, 3, 8, 24, 57, 59, 109, 111, "in"
833, 3, 9, 25, 60, 68, 112, 120, "patients"
833, 3, 10, 26, 69, 73, 121, 125, "with"
833, 3, 11, 27, 74, 82, 126, 134, "elevated"
833, 3, 12, 28, 83, 94, 135, 146, "intraocular"
833, 3, 13, 29, 95, 103, 147, 155, "pressure"
833, 3, 14, 30, 104, 105, 156, 157, "."
833, 4, 1, 31, 0, 6, 158, 164, "Jampel"
833, 4, 2, 32, 7, 9, 165, 167, "HD"
833, 4, 3, 33, 10, 11, 168, 169, "("
833, 4, 4, 34, 12, 13, 170, 171, "1"
833, 4, 5, 35, 14, 15, 172, 173, ")"
833, 4, 6, 36, 16, 17, 174, 175, ","
833, 4, 7, 37, 18, 27, 176, 185, "Bacharach"
833, 4, 8, 38, 28, 29, 186, 187, "J"
833, 4, 9, 39, 30, 31, 188, 189, ","
833, 4, 10, 40, 32, 36, 190, 194, "Sheu"
833, 4, 11, 41, 37, 39, 195, 197, "WP"
833, 4, 12, 42, 40, 41, 198, 199, ","
833, 4, 13, 43, 42, 46, 200, 204, "Wohl"
833, 4, 14, 44, 47, 49, 205, 207, "LG"
833, 4, 15, 45, 50, 51, 208, 209, ","
833, 4, 16, 46, 52, 58, 210, 216, "Solish"
833, 4, 17, 47, 59, 61, 217, 219, "AM"
833, 4, 18, 48, 62, 63, 220, 221, ","
