# DocID, SentenceNr, SenTokenPos, DocTokenPos, SenCharOnset(incl), SenCharOffset(excl), DocCharOnset(incl), DocCharOffset(excl), Text
443, 1, 1, 1, 0, 4, 0, 4, "Curr"
443, 1, 2, 2, 5, 8, 5, 8, "Med"
443, 1, 3, 3, 9, 12, 9, 12, "Res"
443, 1, 4, 4, 13, 17, 13, 17, "Opin"
443, 1, 5, 5, 18, 19, 18, 19, "."
443, 2, 1, 6, 0, 4, 20, 24, "2009"
443, 2, 2, 7, 5, 8, 25, 28, "Jul"
443, 2, 3, 8, 9, 10, 29, 30, ";"
443, 2, 4, 9, 11, 13, 31, 33, "25"
443, 2, 5, 10, 14, 15, 34, 35, "("
443, 2, 6, 11, 16, 17, 36, 37, "7"
443, 2, 7, 12, 18, 19, 38, 39, ")"
443, 2, 8, 13, 20, 21, 40, 41, ":"
443, 2, 9, 14, 22, 26, 42, 46, "1645"
443, 2, 10, 15, 27, 28, 47, 48, "-"
443, 2, 11, 16, 29, 31, 49, 51, "53"
443, 2, 12, 17, 32, 33, 52, 53, "."
443, 2, 13, 18, 34, 37, 54, 57, "doi"
443, 2, 14, 19, 38, 39, 58, 59, ":"
443, 2, 15, 20, 40, 42, 60, 62, "10"
443, 2, 16, 21, 43, 44, 63, 64, "."
443, 2, 17, 22, 45, 49, 65, 69, "1185"
443, 2, 18, 23, 50, 51, 70, 71, "/"
443, 2, 19, 24, 52, 69, 72, 89, "03007990902994041"
443, 2, 20, 25, 70, 71, 90, 91, "."
443, 3, 1, 26, 0, 5, 92, 97, "Three"
443, 3, 2, 27, 6, 7, 98, 99, "-"
443, 3, 3, 28, 8, 13, 100, 105, "month"
443, 3, 4, 29, 14, 15, 106, 107, ","
443, 3, 5, 30, 16, 26, 108, 118, "randomized"
443, 3, 6, 31, 27, 28, 119, 120, ","
443, 3, 7, 32, 29, 37, 121, 129, "parallel"
443, 3, 8, 33, 38, 39, 130, 131, "-"
443, 3, 9, 34, 40, 45, 132, 137, "group"
443, 3, 10, 35, 46, 56, 138, 148, "comparison"
443, 3, 11, 36, 57, 59, 149, 151, "of"
443, 3, 12, 37, 60, 71, 152, 163, "brimonidine"
443, 3, 13, 38, 72, 73, 164, 165, "-"
443, 3, 14, 39, 74, 81, 166, 173, "timolol"
443, 3, 15, 40, 82, 88, 174, 180, "versus"
443, 3, 16, 41, 89, 100, 181, 192, "dorzolamide"
443, 3, 17, 42, 101, 102, 193, 194, "-"
443, 3, 18, 43, 103, 110, 195, 202, "timolol"
443, 3, 19, 44, 111, 116, 203, 208, "fixed"
443, 3, 20, 45, 117, 118, 209, 210, "-"
443, 3, 21, 46, 119, 130, 211, 222, "combination"
443, 3, 22, 47, 131, 138, 223, 230, "therapy"
443, 3, 23, 48, 139, 140, 231, 232, "."
443, 4, 1, 49, 0, 5, 233, 238, "Nixon"
443, 4, 2, 50, 6, 8, 239, 241, "DR"
443, 4, 3, 51, 9, 10, 242, 243, "("
443, 4, 4, 52, 11, 12, 244, 245, "1"
443, 4, 5, 53, 13, 14, 246, 247, ")"
443, 4, 6, 54, 15, 16, 248, 249, ","
443, 4, 7, 55, 17, 20, 250, 253, "Yan"
443, 4, 8, 56, 21, 23, 254, 256, "DB"
443, 4, 9, 57, 24, 25, 257, 258, ","
443, 4, 10, 58, 26, 35, 259, 268, "Chartrand"
443, 4, 11, 59, 36, 38, 269, 271, "JP"
443, 4, 12, 60, 39, 40, 272, 273, ","
443, 4, 13, 61, 41, 51, 274, 284, "Piemontesi"
443, 4, 14, 62, 52, 54, 285, 287, "RL"
443, 4, 15, 63, 55, 56, 288, 289, ","
443, 4, 16, 64, 57, 64, 290, 297, "Simonyi"
443, 4, 17, 65, 65, 66, 298, 299, "S"
443, 4, 18, 66, 67, 68, 300, 301, ","
443, 4, 19, 67, 69, 78, 302, 311, "Hollander"
443, 4, 20, 68, 79, 81, 312, 314, "DA"
443, 4, 21, 69, 82, 83, 315, 316, "."
443, 5, 1, 70, 0, 6, 317, 323, "Author"
443, 5, 2, 71, 7, 18, 324, 335, "information"
443, 5, 3, 72, 19, 20, 336, 337, ":"
443, 5, 4, 73, 21, 22, 338, 339, "("
443, 5, 5, 74, 23, 24, 340, 341, "1"
443, 5, 6, 75, 25, 26, 342, 343, ")"
443, 5, 7, 76, 27, 39, 344, 356, "trimedeyedoc"
443, 5, 8, 77, 40, 41, 357, 358, "@"
443, 5, 9, 78, 42, 48, 359, 365, "rogers"
443, 5, 10, 79, 49, 50, 366, 367, "."
443, 5, 11, 80, 51, 54, 368, 371, "com"
443, 5, 12, 81, 55, 64, 372, 381, "OBJECTIVE"
443, 5, 13, 82, 65, 66, 382, 383, ":"
443, 5, 14, 83, 67, 72, 384, 389, "Fixed"
443, 5, 15, 84, 73, 85, 390, 402, "combinations"
443, 5, 16, 85, 86, 88, 403, 405, "of"
443, 5, 17, 86, 89, 90, 406, 407, "0"
443, 5, 18, 87, 91, 92, 408, 409, "."
443, 5, 19, 88, 93, 94, 410, 411, "2"
443, 5, 20, 89, 95, 96, 412, 413, "%"
443, 5, 21, 90, 97, 108, 414, 425, "brimonidine"
443, 5, 22, 91, 109, 110, 426, 427, "-"
443, 5, 23, 92, 111, 112, 428, 429, "0"
443, 5, 24, 93, 113, 114, 430, 431, "."
443, 5, 25, 94, 115, 116, 432, 433, "5"
443, 5, 26, 95, 117, 118, 434, 435, "%"
443, 5, 27, 96, 119, 126, 436, 443, "timolol"
443, 5, 28, 97, 127, 130, 444, 447, "and"
443, 5, 29, 98, 131, 132, 448, 449, "2"
443, 5, 30, 99, 133, 134, 450, 451, "%"
443, 5, 31, 100, 135, 146, 452, 463, "dorzolamide"
443, 5, 32, 101, 147, 148, 464, 465, "-"
443, 5, 33, 102, 149, 150, 466, 467, "0"
443, 5, 34, 103, 151, 152, 468, 469, "."
443, 5, 35, 104, 153, 154, 470, 471, "5"
443, 5, 36, 105, 155, 156, 472, 473, "%"
443, 5, 37, 106, 157, 164, 474, 481, "timolol"
443, 5, 38, 107, 165, 168, 482, 485, "are"
443, 5, 39, 108, 169, 173, 486, 490, "used"
443, 5, 40, 109, 174, 176, 491, 493, "to"
443, 5, 41, 110, 177, 182, 494, 499, "lower"
443, 5, 42, 111, 183, 194, 500, 511, "intraocular"
443, 5, 43, 112, 195, 203, 512, 520, "pressure"
443, 5, 44, 113, 204, 205, 521, 522, "("
443, 5, 45, 114, 206, 209, 523, 526, "IOP"
443, 5, 46, 115, 210, 211, 527, 528, ")"
443, 5, 47, 116, 212, 213, 529, 530, "."
443, 6, 1, 117, 0, 3, 531, 534, "The"
443, 6, 2, 118, 4, 13, 535, 544, "objective"
443, 6, 3, 119, 14, 16, 545, 547, "of"
443, 6, 4, 120, 17, 21, 548, 552, "this"
443, 6, 5, 121, 22, 27, 553, 558, "study"
443, 6, 6, 122, 28, 31, 559, 562, "was"
443, 6, 7, 123, 32, 34, 563, 565, "to"
443, 6, 8, 124, 35, 43, 566, 574, "evaluate"
443, 6, 9, 125, 44, 47, 575, 578, "the"
443, 6, 10, 126, 48, 51, 579, 582, "IOP"
443, 6, 11, 127, 52, 53, 583, 584, "-"
443, 6, 12, 128, 54, 62, 585, 593, "lowering"
443, 6, 13, 129, 63, 71, 594, 602, "efficacy"
443, 6, 14, 130, 72, 75, 603, 606, "and"
443, 6, 15, 131, 76, 82, 607, 613, "ocular"
443, 6, 16, 132, 83, 95, 614, 626, "tolerability"
443, 6, 17, 133, 96, 98, 627, 629, "of"
443, 6, 18, 134, 99, 110, 630, 641, "brimonidine"
443, 6, 19, 135, 111, 112, 642, 643, "-"
443, 6, 20, 136, 113, 120, 644, 651, "timolol"
443, 6, 21, 137, 121, 129, 652, 660, "compared"
443, 6, 22, 138, 130, 134, 661, 665, "with"
443, 6, 23, 139, 135, 146, 666, 677, "dorzolamide"
443, 6, 24, 140, 147, 148, 678, 679, "-"
443, 6, 25, 141, 149, 156, 680, 687, "timolol"
443, 6, 26, 142, 157, 161, 688, 692, "when"
443, 6, 27, 143, 162, 166, 693, 697, "used"
443, 6, 28, 144, 167, 169, 698, 700, "as"
443, 6, 29, 145, 170, 181, 701, 712, "monotherapy"
443, 6, 30, 146, 182, 184, 713, 715, "or"
443, 6, 31, 147, 185, 187, 716, 718, "as"
443, 6, 32, 148, 188, 198, 719, 729, "adjunctive"
